id,latitude,longitude,heading,route_id,predictable,seconds_since_report,run_id,time,time_adjusted
8116,34.04269,-118.247803,-4.0,33,False,233,nan,2022-02-22 10:24:55,2022-02-22 10:21:02
8312,34.001358,-118.43811,59.0,33,True,103,33_589_0,2022-02-22 10:24:55,2022-02-22 10:23:12
8136,34.012413,-118.494164,120.0,33,True,259,33_589_0,2022-02-22 10:24:55,2022-02-22 10:20:36
8114,34.020058,-118.404419,56.0,33,True,129,33_593_0,2022-02-22 10:24:55,2022-02-22 10:22:46
4079,34.045906,-118.34584,75.0,33,True,181,33_593_0,2022-02-22 10:24:55,2022-02-22 10:21:54
8159,34.057621,-118.230927,21.0,33,True,103,33_575_1,2022-02-22 10:24:55,2022-02-22 10:23:12
8274,33.993851,-118.452957,45.0,33,True,25,33_575_1,2022-02-22 10:24:55,2022-02-22 10:24:30
4093,34.002789,-118.435555,225.0,33,True,155,33_574_1,2022-02-22 10:24:55,2022-02-22 10:22:20
8146,34.057018,-118.231216,276.0,33,True,155,33_575_1,2022-02-22 10:24:55,2022-02-22 10:22:20
8303,34.043652,-118.300514,75.0,33,True,129,33_589_0,2022-02-22 10:24:55,2022-02-22 10:22:46
8269,34.045029,-118.25013,30.0,33,True,103,33_589_0,2022-02-22 10:24:55,2022-02-22 10:23:12
8140,34.017941,-118.408546,225.0,33,True,51,33_575_1,2022-02-22 10:24:55,2022-02-22 10:24:04
3984,34.035786,-118.377213,236.0,33,True,181,33_574_1,2022-02-22 10:24:55,2022-02-22 10:21:54
3985,34.0487139,-118.24633,75.0,33,False,103,nan,2022-02-22 10:24:55,2022-02-22 10:23:12
3944,33.994015,-118.476006,220.0,33,True,51,33_593_0,2022-02-22 10:24:55,2022-02-22 10:24:04
3967,34.041397,-118.279007,105.0,33,True,155,33_593_0,2022-02-22 10:24:55,2022-02-22 10:22:20
8299,34.030918,-118.385307,56.0,33,True,116,33_589_0,2022-02-22 10:25:05,2022-02-22 10:23:09
4172,34.047173,-118.346664,260.0,33,True,194,33_575_1,2022-02-22 10:25:05,2022-02-22 10:21:51
4151,34.043461,-118.2836,285.0,33,True,38,33_575_1,2022-02-22 10:25:05,2022-02-22 10:24:27
8116,34.04269,-118.247803,-4.0,33,False,246,nan,2022-02-22 10:25:05,2022-02-22 10:20:59
8312,34.001358,-118.43811,59.0,33,True,116,33_589_0,2022-02-22 10:25:05,2022-02-22 10:23:09
8136,34.012413,-118.494164,120.0,33,True,272,33_589_0,2022-02-22 10:25:05,2022-02-22 10:20:33
8114,34.020058,-118.404419,56.0,33,True,142,33_593_0,2022-02-22 10:25:05,2022-02-22 10:22:43
4079,34.046677,-118.337059,90.0,33,True,11,33_593_0,2022-02-22 10:25:05,2022-02-22 10:24:54
8159,34.057621,-118.230927,21.0,33,True,116,33_575_1,2022-02-22 10:25:05,2022-02-22 10:23:09
8274,33.993851,-118.452957,45.0,33,True,38,33_575_1,2022-02-22 10:25:05,2022-02-22 10:24:27
4093,34.002789,-118.435555,225.0,33,True,168,33_574_1,2022-02-22 10:25:05,2022-02-22 10:22:17
8146,34.057018,-118.231216,276.0,33,True,168,33_575_1,2022-02-22 10:25:05,2022-02-22 10:22:17
8303,34.044174,-118.289398,75.0,33,True,11,33_589_0,2022-02-22 10:25:05,2022-02-22 10:24:54
8269,34.045029,-118.25013,30.0,33,True,116,33_589_0,2022-02-22 10:25:05,2022-02-22 10:23:09
8140,34.017941,-118.408546,225.0,33,True,64,33_575_1,2022-02-22 10:25:05,2022-02-22 10:24:01
3984,34.029572,-118.388161,236.0,33,True,11,33_574_1,2022-02-22 10:25:05,2022-02-22 10:24:54
3985,34.0487139,-118.24633,75.0,33,False,116,nan,2022-02-22 10:25:05,2022-02-22 10:23:09
3944,33.994015,-118.476006,220.0,33,True,64,33_593_0,2022-02-22 10:25:05,2022-02-22 10:24:01
3967,34.041397,-118.279007,105.0,33,True,168,33_593_0,2022-02-22 10:25:05,2022-02-22 10:22:17
8299,34.030918,-118.385307,56.0,33,True,124,33_589_0,2022-02-22 10:25:15,2022-02-22 10:23:11
4172,34.047173,-118.346664,260.0,33,True,202,33_575_1,2022-02-22 10:25:15,2022-02-22 10:21:53
4151,34.043461,-118.2836,285.0,33,True,45,33_575_1,2022-02-22 10:25:15,2022-02-22 10:24:30
8116,34.04269,-118.247803,-4.0,33,False,254,nan,2022-02-22 10:25:15,2022-02-22 10:21:01
8312,34.001358,-118.43811,59.0,33,True,124,33_589_0,2022-02-22 10:25:15,2022-02-22 10:23:11
8136,34.012413,-118.494164,120.0,33,True,280,33_589_0,2022-02-22 10:25:15,2022-02-22 10:20:35
8114,34.020058,-118.404419,56.0,33,True,150,33_593_0,2022-02-22 10:25:15,2022-02-22 10:22:45
4079,34.046677,-118.337059,90.0,33,True,19,33_593_0,2022-02-22 10:25:15,2022-02-22 10:24:56
8159,34.057621,-118.230927,21.0,33,True,124,33_575_1,2022-02-22 10:25:15,2022-02-22 10:23:11
8274,33.993851,-118.452957,45.0,33,True,45,33_575_1,2022-02-22 10:25:15,2022-02-22 10:24:30
4093,34.002789,-118.435555,225.0,33,True,176,33_574_1,2022-02-22 10:25:15,2022-02-22 10:22:19
